Location,Index Year,Breakdown,Characteristic,avgfsize_age5,avgfsize_base_age0,share_scale,start_growth,inc_year,h_g_density,growth_index,Location_name,location_category,Category,Location_web,MetroAreaStates,MetroAreaMainCity,year_BDS,year_BDS_5yr,Industry,Industry2,HighGrowthCompanyDensityRank,HighGrowthCompanies,share_scale_web,ShareofHighGrowth,z_rate,z_share,z_hg_density,Rank,index_last_y,index_diff,index_diff_text,rank_last_y,rank_diff,norm_rate,norm_share,norm_hg_density
0,1982,,,12.97646,6.67602,,0.94374,,,,United States,the,,UnitedStates,,,1982,1977,,,,,,,,,,,,,,,,83.09366,,
0,1983,,,8.7251,5.39188,,0.61819,,,,United States,the,,UnitedStates,,,1983,1978,,,,,,,,,,,,,,,,25.84202,,
0,1984,,,9.38915,5.74664,,0.63385,,,,United States,the,,UnitedStates,,,1984,1979,,,,,,,,,,,,,,,,28.59572,,
0,1985,,,9.53576,5.54968,,0.71825,,,,United States,the,,UnitedStates,,,1985,1980,,,,,,,,,,,,,,,,43.43912,,
0,1986,,,11.88782,6.54249,,0.81702,,,,United States,the,,UnitedStates,,,1986,1981,,,,,,,,,,,,,,,,60.80745,,
0,1987,,,11.15198,6.74052,0.0161,0.65447,,,,United States,the,,UnitedStates,,,1987,1982,,,,,16.101,,,,,,,,,,,32.22163,100,
0,1988,,,11.48384,5.77099,0.01557,0.98992,,,,United States,the,,UnitedStates,,,1988,1983,,,,,15.572,,,,,,,,,,,91.21543,91.74741,
0,1989,,,10.54417,5.56062,0.01586,0.89622,,,,United States,the,,UnitedStates,,,1989,1984,,,,,15.865,,,,,,,,,,,74.73707,96.30845,
0,1990,,,11.17371,5.77961,0.01606,0.9333,,,,United States,the,,UnitedStates,,,1990,1985,,,,,16.062,,,,,,,,,,,81.25689,99.39113,
0,1991,,,10.34253,6.01916,0.01527,0.71827,,,,United States,the,,UnitedStates,,,1991,1986,,,,,15.274,,,,,,,,,,,43.44138,87.08856,
