year2,state,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,01,52371,62852,957297,933909,10634,17.2,8057,13.1,191522,89869,101653,9.6,20.5,144746,58891,85855,6.3,15.5,46776,5,31,0,5623,5641,36602
1977,02,6480,7725,107164,108134,2028,27,1564,20.8,37545,19259,18286,17.8,34.7,39485,13504,25981,12.5,36.5,-1940,-1.8,69.4,0,1035,1039,6757
1977,04,36477,44113,604551,589552,9379,22,6230,14.6,147426,70645,76781,12,25,117429,45366,72063,7.7,19.9,29997,5.1,39.8,0,4332,4357,29116
1977,05,35499,40702,551110,529709,7291,18.3,5455,13.7,119728,44527,75201,8.4,22.6,76925,32531,44394,6.1,14.5,42803,8.1,29,0,3970,3994,19678
1977,06,362887,438766,6813306,6484959,88187,20.7,60589,14.2,1739378,779164,960214,12,26.8,1082685,488562,594123,7.5,16.7,656693,10.1,33.4,0,39693,39932,276475
1977,08,51642,60187,814142,786550,12874,22.2,8248,14.2,198243,93270,104973,11.9,25.2,143058,62313,80745,7.9,18.2,55185,7,36.4,0,5673,5694,37131
1977,09,53879,61410,1103810,1059999,9153,15.2,6634,11,214850,69857,144993,6.6,20.3,127228,47273,79955,4.5,12,87622,8.3,24,0,4248,4263,24208
1977,10,9919,11465,223135,220859,1954,17.6,1250,11.2,34817,14260,20557,6.5,15.8,30264,9058,21206,4.1,13.7,4553,2.1,27.4,0,807,810,5417
1977,11,13027,15041,296878,296031,2262,15.2,1855,12.5,59424,27830,31594,9.4,20.1,57729,20610,37119,7,19.5,1695,0.6,39,0,1131,1135,9899
1977,12,151970,182091,2418901,2316656,36816,20.7,27045,15.2,622874,319998,302876,13.8,26.9,418383,191982,226401,8.3,18.1,204491,8.8,36.2,0,19132,19236,120706
1977,13,78451,95914,1492881,1452463,17573,18.7,13166,14,319926,146754,173172,10.1,22,239090,97339,141751,6.7,16.5,80836,5.5,33,0,8877,8911,56643
1977,15,14785,17914,261107,253382,3306,19,2150,12.4,55585,27592,27993,10.9,21.9,40134,19811,20323,7.8,15.8,15451,6.1,31.6,0,1422,1438,10556
1977,16,16105,18790,259122,231419,3729,20.5,2500,13.7,92116,24359,67757,10.5,39.8,36709,15378,21331,6.6,15.9,55407,23.9,31.8,0,1738,1749,9788
1977,17,175560,204938,3919126,3811704,30780,15.2,25527,12.6,745823,293000,452823,7.7,19.6,530978,202049,328929,5.3,13.9,214845,5.7,27.8,0,16751,16871,107141
1977,18,79024,95182,1708501,1669441,14426,15.4,11454,12.2,298827,122035,176792,7.3,17.9,220707,81202,139505,4.9,13.2,78120,4.7,26.4,0,7438,7499,50182
1977,19,54755,64042,837737,809119,10154,16.1,7961,12.6,169112,68130,100982,8.4,20.9,111876,50775,61101,6.3,13.8,57236,7.1,27.6,0,5274,5295,31820
